roll_number,name,email,department_code,semester,year,division
CS5A001,Shruti Bhatt,cs5a001@college.edu,CSE,5,3,A
CS5A002,Nikhil Patel,cs5a002@college.edu,CSE,5,3,A
CS5A003,Kunal Shah,cs5a003@college.edu,CSE,5,3,A
CS5A004,Sanya Malhotra,cs5a004@college.edu,CSE,5,3,A
CS5A005,Aarav Chauhan,cs5a005@college.edu,CSE,5,3,A
CS5A006,Harsh Bose,cs5a006@college.edu,CSE,5,3,A
CS5A007,Omkar Pillai,cs5a007@college.edu,CSE,5,3,A
CS5A008,Sameer Pillai,cs5a008@college.edu,CSE,5,3,A
CS5A009,Aditi Sharma,cs5a009@college.edu,CSE,5,3,A
CS5A010,Sameer Mehta,cs5a010@college.edu,CSE,5,3,A
CS5A011,Rohan Sharma,cs5a011@college.edu,CSE,5,3,A
CS5A012,Rohan Sinha,cs5a012@college.edu,CSE,5,3,A
CS5A013,Siddharth Bhatt,cs5a013@college.edu,CSE,5,3,A
CS5A014,Akash Kulkarni,cs5a014@college.edu,CSE,5,3,A
CS5A015,Omkar Menon,cs5a015@college.edu,CSE,5,3,A
CS5A016,Sameer Patel,cs5a016@college.edu,CSE,5,3,A
CS5A017,Priya Iyer,cs5a017@college.edu,CSE,5,3,A
CS5A018,Aditi Desai,cs5a018@college.edu,CSE,5,3,A
CS5A019,Meera Nair,cs5a019@college.edu,CSE,5,3,A
CS5A020,Nikhil Rao,cs5a020@college.edu,CSE,5,3,A
CS5A021,Aditya Malhotra,cs5a021@college.edu,CSE,5,3,A
CS5A022,Akash Sharma,cs5a022@college.edu,CSE,5,3,A
CS5A023,Kritika Pillai,cs5a023@college.edu,CSE,5,3,A
CS5A024,Diya Iyer,cs5a024@college.edu,CSE,5,3,A
CS5A025,Siddharth Desai,cs5a025@college.edu,CSE,5,3,A
CS5A026,Akash Kapoor,cs5a026@college.edu,CSE,5,3,A
CS5A027,Pallavi Gupta,cs5a027@college.edu,CSE,5,3,A
CS5A028,Karan Malhotra,cs5a028@college.edu,CSE,5,3,A
CS5A029,Aditi Rao,cs5a029@college.edu,CSE,5,3,A
CS5A030,Shruti Sinha,cs5a030@college.edu,CSE,5,3,A
CS5A031,Diya Sharma,cs5a031@college.edu,CSE,5,3,A
CS5A032,Isha Patel,cs5a032@college.edu,CSE,5,3,A
CS5A033,Nandini Mehta,cs5a033@college.edu,CSE,5,3,A
CS5A034,Tanvi Mehta,cs5a034@college.edu,CSE,5,3,A
CS5A035,Nandini Rao,cs5a035@college.edu,CSE,5,3,A
CS5A036,Harsh Bose,cs5a036@college.edu,CSE,5,3,A
CS5A037,Rahul Iyer,cs5a037@college.edu,CSE,5,3,A
CS5A038,Karan Desai,cs5a038@college.edu,CSE,5,3,A
CS5A039,Rohan Sharma,cs5a039@college.edu,CSE,5,3,A
CS5A040,Nandini Shah,cs5a040@college.edu,CSE,5,3,A
CS5A041,Vivek Pillai,cs5a041@college.edu,CSE,5,3,A
CS5A042,Rohan Mehta,cs5a042@college.edu,CSE,5,3,A
CS5A043,Aarav Menon,cs5a043@college.edu,CSE,5,3,A
CS5A044,Vivek Bose,cs5a044@college.edu,CSE,5,3,A
CS5A045,Rohan Menon,cs5a045@college.edu,CSE,5,3,A
CS5A046,Harsh Pillai,cs5a046@college.edu,CSE,5,3,A
CS5A047,Sanya Shah,cs5a047@college.edu,CSE,5,3,A
CS5A048,Kritika Desai,cs5a048@college.edu,CSE,5,3,A
CS5A049,Omkar Bhatt,cs5a049@college.edu,CSE,5,3,A
CS5A050,Isha Gupta,cs5a050@college.edu,CSE,5,3,A
CS5A051,Sanya Patel,cs5a051@college.edu,CSE,5,3,A
CS5A052,Sanya Pillai,cs5a052@college.edu,CSE,5,3,A
CS5A053,Sameer Kulkarni,cs5a053@college.edu,CSE,5,3,A
CS5A054,Priya Rao,cs5a054@college.edu,CSE,5,3,A
CS5A055,Nikhil Bhatt,cs5a055@college.edu,CSE,5,3,A
CS5A056,Pallavi Kapoor,cs5a056@college.edu,CSE,5,3,A
CS5A057,Sneha Joshi,cs5a057@college.edu,CSE,5,3,A
CS5A058,Sneha Malhotra,cs5a058@college.edu,CSE,5,3,A
CS5A059,Nandini Pillai,cs5a059@college.edu,CSE,5,3,A
CS5A060,Rohan Menon,cs5a060@college.edu,CSE,5,3,A
CS5B001,Ananya Malhotra,cs5b001@college.edu,CSE,5,3,B
CS5B002,Riya Sinha,cs5b002@college.edu,CSE,5,3,B
CS5B003,Aarav Kapoor,cs5b003@college.edu,CSE,5,3,B
CS5B004,Aditya Reddy,cs5b004@college.edu,CSE,5,3,B
CS5B005,Siddharth Bhatt,cs5b005@college.edu,CSE,5,3,B
CS5B006,Sneha Iyer,cs5b006@college.edu,CSE,5,3,B
CS5B007,Nandini Joshi,cs5b007@college.edu,CSE,5,3,B
CS5B008,Priya Desai,cs5b008@college.edu,CSE,5,3,B
CS5B009,Riya Joshi,cs5b009@college.edu,CSE,5,3,B
CS5B010,Nikita Chauhan,cs5b010@college.edu,CSE,5,3,B
CS5B011,Aditi Malhotra,cs5b011@college.edu,CSE,5,3,B
CS5B012,Siddharth Nair,cs5b012@college.edu,CSE,5,3,B
CS5B013,Aditya Pillai,cs5b013@college.edu,CSE,5,3,B
CS5B014,Karan Menon,cs5b014@college.edu,CSE,5,3,B
CS5B015,Nandini Nair,cs5b015@college.edu,CSE,5,3,B
CS5B016,Vivek Menon,cs5b016@college.edu,CSE,5,3,B
CS5B017,Kunal Reddy,cs5b017@college.edu,CSE,5,3,B
CS5B018,Diya Shah,cs5b018@college.edu,CSE,5,3,B
CS5B019,Pallavi Joshi,cs5b019@college.edu,CSE,5,3,B
CS5B020,Omkar Menon,cs5b020@college.edu,CSE,5,3,B
CS5B021,Aarav Sharma,cs5b021@college.edu,CSE,5,3,B
CS5B022,Aditya Rao,cs5b022@college.edu,CSE,5,3,B
CS5B023,Sanya Rao,cs5b023@college.edu,CSE,5,3,B
